device, format, fps, frame_timing(us)
0, 0, 55.26, 506674
0, 0, 59.95, 500376
0, 0, 59.96, 500370
0, 0, 59.93, 500567
0, 0, 59.97, 500209
0, 0, 59.97, 500257
0, 0, 59.95, 500389
0, 0, 57.96, 500387
0, 0, 59.99, 500062
0, 0, 59.98, 516811
0, 0, 60.00, 500016
0, 0, 60.00, 500027
0, 0, 59.94, 500481
0, 0, 38.08, 525211
0, 0, 32.23, 527452
0, 0, 32.90, 516754
0, 0, 32.68, 520131
0, 0, 32.88, 517034
0, 0, 32.90, 516711
0, 0, 32.85, 517582
0, 0, 32.85, 517579
0, 0, 32.86, 517384
0, 0, 32.76, 518910
0, 0, 32.95, 515948
0, 0, 32.83, 517795
0, 0, 32.92, 516452
0, 0, 32.88, 517029
0, 0, 41.42, 507002
0, 0, 61.40, 504865
0, 0, 59.94, 500472
0, 0, 59.98, 500137
0, 0, 59.94, 500461
0, 0, 59.98, 500156
0, 0, 59.95, 500381
0, 0, 59.94, 500539
0, 0, 59.98, 500197
0, 0, 59.96, 500310
0, 0, 59.94, 500492
0, 0, 59.97, 500216
0, 0, 59.93, 500546
0, 0, 59.98, 500193
0, 0, 59.96, 500335
0, 0, 59.95, 500377
0, 0, 59.96, 500316
0, 0, 59.96, 500343
0, 0, 59.95, 500448
0, 0, 57.95, 500401
0, 0, 59.96, 500371
0, 0, 59.97, 500235
0, 0, 59.96, 500347
0, 0, 59.96, 500350
0, 0, 59.94, 500489
0, 0, 59.94, 500466
0, 0, 59.96, 500333
0, 0, 59.97, 500216
0, 0, 59.95, 500416
0, 0, 59.94, 500490
0, 0, 59.99, 500103
0, 0, 59.94, 500474
0, 0, 59.97, 500277
0, 0, 59.96, 500369
0, 0, 59.94, 500531
0, 0, 59.97, 500256
0, 0, 59.95, 500417
0, 0, 59.98, 500163
0, 0, 59.96, 500300
0, 0, 59.95, 500410
0, 0, 59.94, 500485
0, 0, 59.97, 500281
0, 0, 59.94, 500484
0, 0, 59.97, 500237
0, 0, 59.94, 500510
0, 0, 59.98, 500204
0, 0, 59.96, 500347
0, 0, 59.94, 500472
0, 0, 59.96, 500336
0, 0, 59.96, 500364
0, 0, 59.95, 500399
0, 0, 59.97, 500214
0, 0, 59.96, 500360
0, 0, 59.95, 500395
0, 0, 59.94, 500460
0, 0, 59.98, 500198
0, 0, 59.96, 500341
0, 0, 59.94, 500470
0, 0, 59.97, 500211
0, 0, 59.96, 500358
0, 0, 59.95, 500419
0, 0, 59.97, 500246
0, 0, 59.94, 500473
0, 0, 59.97, 500269
0, 0, 59.96, 500347
0, 0, 59.96, 500368
0, 0, 59.95, 500421
0, 0, 59.95, 500410
0, 0, 59.95, 500457
0, 0, 59.98, 500129
0, 0, 59.93, 500605
0, 0, 59.99, 500107
0, 0, 59.93, 500574
0, 0, 52.00, 500025
0, 0, 37.97, 500436
0, 0, 41.97, 500306
0, 0, 39.98, 500251
0, 0, 39.97, 500391
0, 0, 55.94, 500536
0, 0, 59.96, 500309
0, 0, 59.96, 500332
0, 0, 59.93, 500544
0, 0, 59.96, 500295
0, 0, 59.97, 500238
0, 0, 59.95, 500430
0, 0, 59.95, 500399
0, 0, 59.96, 500312
0, 0, 59.96, 500300
0, 0, 59.93, 500566
0, 0, 59.97, 500273
0, 0, 59.97, 500290
0, 0, 59.95, 500414
0, 0, 59.96, 500363
0, 0, 59.96, 500356
0, 0, 59.95, 500448
0, 0, 59.97, 500285
0, 0, 59.96, 500315
0, 0, 59.96, 500333
0, 0, 59.97, 500268
0, 0, 59.93, 500557
0, 0, 59.95, 500387
0, 0, 60.00, 500034
0, 0, 59.92, 500640
0, 0, 59.98, 500198
0, 0, 59.94, 500471
0, 0, 59.97, 500260
0, 0, 59.97, 500266
0, 0, 59.94, 500471
0, 0, 59.95, 500421
0, 0, 59.96, 500325
0, 0, 59.97, 500280
0, 0, 59.96, 500338
0, 0, 59.95, 500433
0, 0, 59.96, 500311
0, 0, 59.95, 500416
0, 0, 59.95, 500455
0, 0, 59.96, 500296
0, 0, 59.96, 500330
0, 0, 59.97, 500283
0, 0, 59.96, 500351
0, 0, 59.95, 500458
0, 0, 59.98, 500185
0, 0, 59.94, 500535
0, 0, 59.98, 500175
0, 0, 59.94, 500466
0, 0, 59.96, 500329
0, 0, 59.97, 500281
0, 0, 59.97, 500266
0, 0, 59.95, 500396
0, 0, 59.96, 500362
0, 0, 59.95, 500422
0, 0, 59.96, 500295
0, 0, 59.95, 500381
0, 0, 59.94, 500522
0, 0, 59.96, 500333
0, 0, 59.98, 500185
0, 0, 59.95, 500455
0, 0, 59.97, 500247
0, 0, 59.95, 500457
0, 0, 59.96, 500301
0, 0, 59.93, 500567
0, 0, 59.97, 500251
0, 0, 59.94, 500490
0, 0, 59.97, 500283
0, 0, 59.97, 500222
0, 0, 59.96, 500360
0, 0, 59.95, 500397
0, 0, 59.96, 500339
0, 0, 59.95, 500419
0, 0, 59.98, 500176
0, 0, 59.94, 500522
0, 0, 59.96, 500307
0, 0, 59.96, 500349
0, 0, 59.95, 500426
0, 0, 59.96, 500314
0, 0, 59.96, 500365
0, 0, 59.97, 500236
0, 0, 59.97, 500220
0, 0, 59.95, 500434
0, 0, 59.95, 500451
0, 0, 59.95, 500405
0, 0, 59.96, 500308
0, 0, 59.96, 500365
0, 0, 59.95, 500387
0, 0, 59.97, 500231
0, 0, 59.94, 500493
0, 0, 59.95, 500444
0, 0, 59.97, 500242
0, 0, 59.95, 500414
0, 0, 59.96, 500334
0, 0, 59.98, 500147
0, 0, 59.94, 500519
0, 0, 59.96, 500374
0, 0, 59.96, 500309
0, 0, 59.96, 500311
0, 0, 59.95, 500400
0, 0, 59.96, 500336
0, 0, 59.95, 500391
0, 0, 59.96, 500328
0, 0, 59.97, 500278
0, 0, 59.96, 500371
0, 0, 59.96, 500356
0, 0, 59.95, 500381
0, 0, 59.95, 500377
0, 0, 59.95, 500379
0, 0, 59.96, 500353
0, 0, 59.96, 500336
0, 0, 59.96, 500367
0, 0, 59.95, 500452
0, 0, 59.95, 500398
0, 0, 59.94, 500515
0, 0, 60.00, 516699
0, 0, 59.95, 500393
0, 0, 59.96, 500355
0, 0, 59.96, 500336
0, 0, 59.97, 500282
0, 0, 59.94, 500476
0, 0, 59.97, 500269
0, 0, 59.93, 500560
0, 0, 59.98, 500195
0, 0, 59.97, 500274
0, 0, 59.95, 500454
0, 0, 59.95, 500431
0, 0, 59.98, 500200
0, 0, 59.95, 500444
0, 0, 59.97, 500247
0, 0, 59.95, 500458
0, 0, 59.94, 500504
0, 0, 59.98, 500180
0, 0, 59.97, 500286
0, 0, 59.95, 500387
0, 0, 59.95, 500445
0, 0, 59.96, 500314
0, 0, 59.95, 500411
0, 0, 59.96, 500303
0, 0, 59.95, 500421
0, 0, 59.96, 500295
0, 0, 59.96, 500341
0, 0, 59.94, 500467
0, 0, 59.95, 500398
0, 0, 59.96, 500344
0, 0, 59.97, 500230
0, 0, 59.95, 500455
0, 0, 59.96, 500363
0, 0, 59.97, 500282
0, 0, 59.96, 500356
0, 0, 59.96, 500297
0, 0, 59.94, 500496
0, 0, 59.98, 500128
0, 0, 59.93, 500547
0, 0, 59.97, 500249
0, 0, 59.97, 500272
0, 0, 59.93, 500556
0, 0, 59.97, 500249
0, 0, 59.96, 500359
0, 0, 59.96, 500310
0, 0, 59.95, 500414
0, 0, 59.98, 500202
0, 0, 59.95, 500385
0, 0, 59.94, 500537
0, 0, 59.97, 500234
0, 0, 59.95, 500409
0, 0, 59.96, 500325
0, 0, 59.97, 500269
0, 0, 59.94, 500495
0, 0, 59.96, 500324
0, 0, 59.96, 500361
0, 0, 59.96, 500316
0, 0, 59.95, 500395
0, 0, 59.96, 500316
0, 0, 59.98, 500200
0, 0, 59.93, 500613
0, 0, 59.98, 500180
0, 0, 59.95, 500425
0, 0, 59.95, 500397
0, 0, 59.96, 500320
0, 0, 59.97, 500266
0, 0, 59.96, 500371
0, 0, 59.93, 500580
0, 0, 59.99, 500107
0, 0, 59.93, 500548
0, 0, 59.98, 500186
0, 0, 59.95, 500410
0, 0, 59.94, 500502
0, 0, 59.97, 500225
0, 0, 59.96, 500327
0, 0, 59.96, 500357
0, 0, 59.96, 500363
0, 0, 59.95, 500432
0, 0, 59.95, 500452
0, 0, 59.98, 500164
0, 0, 59.96, 500361
0, 0, 59.94, 500472
0, 0, 59.96, 500368
0, 0, 59.97, 500221
0, 0, 59.94, 500491
0, 0, 59.97, 500255
0, 0, 59.96, 500337
0, 0, 59.96, 500323
0, 0, 59.93, 500563
0, 0, 59.97, 500211
0, 0, 59.96, 500294
0, 0, 59.96, 500318
0, 0, 59.94, 500462
0, 0, 59.95, 500378
0, 0, 59.97, 500227
0, 0, 59.94, 500476
0, 0, 59.96, 500329
0, 0, 59.96, 500351
0, 0, 59.95, 500440
0, 0, 59.97, 500289
0, 0, 59.96, 500309
0, 0, 59.95, 500422
0, 0, 59.95, 500406
0, 0, 59.97, 500218
0, 0, 59.96, 500374
0, 0, 59.95, 500419
0, 0, 59.97, 500286
0, 0, 59.94, 500471
0, 0, 59.97, 500224
0, 0, 59.95, 500376
0, 0, 59.94, 500468
0, 0, 59.98, 500134
0, 0, 59.94, 500499
0, 0, 59.96, 500328
0, 0, 59.94, 500478
0, 0, 59.97, 500210
0, 0, 59.96, 500331
0, 0, 59.96, 500326
0, 0, 59.94, 500497
0, 0, 59.97, 500263
0, 0, 59.95, 500404
0, 0, 59.95, 500406
0, 0, 59.97, 500224
0, 0, 59.94, 500466
0, 0, 59.97, 500233
0, 0, 59.95, 500448
0, 0, 59.97, 500282
0, 0, 59.93, 500574
0, 0, 59.98, 500184
0, 0, 59.94, 500509
0, 0, 59.96, 500313
0, 0, 59.98, 500131
0, 0, 59.95, 500452
0, 0, 59.95, 500441
0, 0, 59.97, 500265
0, 0, 59.96, 500345
0, 0, 59.94, 500463
0, 0, 59.94, 500463
0, 0, 59.99, 500079
0, 0, 59.94, 500468
0, 0, 59.95, 500383
0, 0, 59.97, 500246
0, 0, 59.95, 500454
0, 0, 59.97, 500235
0, 0, 59.95, 500387
0, 0, 59.94, 500486
0, 0, 59.98, 500127
0, 0, 59.95, 500426
0, 0, 59.96, 500304
0, 0, 59.95, 500406
0, 0, 59.96, 500357
0, 0, 59.94, 500499
0, 0, 59.98, 500143
0, 0, 59.93, 500583
0, 0, 59.98, 500193
0, 0, 59.95, 500376
0, 0, 59.96, 500297
0, 0, 59.95, 500377
0, 0, 59.96, 500335
0, 0, 59.96, 500350
0, 0, 59.94, 500515
0, 0, 59.98, 500186
0, 0, 59.94, 500489
0, 0, 59.95, 500420
0, 0, 59.96, 500323
0, 0, 59.95, 500433
0, 0, 59.98, 500166
0, 0, 59.96, 500297
0, 0, 59.93, 500556
0, 0, 59.97, 500262
0, 0, 59.95, 500388
0, 0, 59.94, 500510
0, 0, 59.99, 500121
0, 0, 59.96, 500348
0, 0, 59.95, 500417
